key_length,assignment,comparision
32,152,181
64,327,379
96,478,574
128,639,763
160,787,952
192,946,1144
224,1130,1333
256,1286,1528
288,1436,1717
320,1596,1906
352,1756,2098
384,1936,2296
416,2101,2485
448,2250,2680
480,2358,2860
512,2572,3052
544,2712,3256
576,2876,3430
608,3029,3634
640,3191,3832
672,3359,4027
704,3495,4198
736,3676,4411
768,3828,4597
800,3977,4795
832,4173,4993
864,4349,5176
896,4514,5371
928,4590,5557
960,4757,5743
992,4964,5947
1024,5120,6130
1056,5287,6316
1088,5450,6526
1120,5586,6709
1152,5773,6901
1184,5891,7087
1216,6031,7279
1248,6234,7477
1280,6416,7678
1312,6503,7828
1344,6704,8026
1376,6858,8239
1408,7037,8437
1440,7175,8620
1472,7341,8818
1504,7506,9016
1536,7645,9196
1568,7841,9400
1600,7936,9577
1632,8113,9793
1664,8289,9973
1696,8505,10171
1728,8619,10354
1760,8831,10540
1792,8987,10732
1824,9103,10933
1856,9277,11131
1888,9459,11326
1920,9592,11500
1952,9712,11701
1984,9917,11899
2016,10094,12088
2048,10183,12283
